Player,YearEnd,CareerPts,Rank
Elvin Hayes,2008,27313,6
Hakeem Olajuwon,2008,26946,7
Oscar Robertson,2008,26710,8
Dominique Wilkins,2008,26668,9
John Havlicek,2008,26395,10
Kareem Abdul-Jabbar,2009,38387,1
Karl Malone,2009,36928,2
Michael Jordan,2009,32292,3
Wilt Chamberlain,2009,31419,4
Shaquille O'Neal,2009,27619,5
Moses Malone,2009,27409,6
Elvin Hayes,2009,27313,7
Hakeem Olajuwon,2009,26946,8
Oscar Robertson,2009,26710,9
Dominique Wilkins,2009,26668,10
Kareem Abdul-Jabbar,2010,38387,1
Karl Malone,2010,36928,2
Michael Jordan,2010,32292,3
Wilt Chamberlain,2010,31419,4
Shaquille O'Neal,2010,28255,5
Moses Malone,2010,27409,6
Elvin Hayes,2010,27313,7
Hakeem Olajuwon,2010,26946,8
Oscar Robertson,2010,26710,9
Dominique Wilkins,2010,26668,10
Kareem Abdul-Jabbar,2011,38387,1
Karl Malone,2011,36928,2
Michael Jordan,2011,32292,3
Wilt Chamberlain,2011,31419,4
Shaquille O'Neal,2011,28596,5
Kobe Bryant,2011,27868,6
Moses Malone,2011,27409,7
Elvin Hayes,2011,27313,8
Hakeem Olajuwon,2011,26946,9
Oscar Robertson,2011,26710,10
Kareem Abdul-Jabbar,2012,38387,1
Karl Malone,2012,36928,2
Michael Jordan,2012,32292,3
Wilt Chamberlain,2012,31419,4
Kobe Bryant,2012,29484,5
Shaquille O'Neal,2012,28596,6
Moses Malone,2012,27409,7
Elvin Hayes,2012,27313,8
Hakeem Olajuwon,2012,26946,9
Oscar Robertson,2012,26710,10
Kareem Abdul-Jabbar,2013,38387,1
Karl Malone,2013,36928,2
Michael Jordan,2013,32292,3
Kobe Bryant,2013,31617,4
Wilt Chamberlain,2013,31419,5
Shaquille O'Neal,2013,28596,6
Moses Malone,2013,27409,7
Elvin Hayes,2013,27313,8
Hakeem Olajuwon,2013,26946,9
Oscar Robertson,2013,26710,10
Kareem Abdul-Jabbar,2014,38387,1
Karl Malone,2014,36928,2
Michael Jordan,2014,32292,3
Kobe Bryant,2014,31700,4
Wilt Chamberlain,2014,31419,5
Shaquille O'Neal,2014,28596,6
Moses Malone,2014,27409,7
Elvin Hayes,2014,27313,8
Hakeem Olajuwon,2014,26946,9
Dirk Nowitzki,2014,26786,10
Kareem Abdul-Jabbar,2015,38387,1
Karl Malone,2015,36928,2
Kobe Bryant,2015,32482,3
Michael Jordan,2015,32292,4
Wilt Chamberlain,2015,31419,5
Shaquille O'Neal,2015,28596,6
Dirk Nowitzki,2015,28119,7
Moses Malone,2015,27409,8
Elvin Hayes,2015,27313,9
Hakeem Olajuwon,2015,26946,10
Kareem Abdul-Jabbar,2016,38387,1
Karl Malone,2016,36928,2
Kobe Bryant,2016,33643,3
Michael Jordan,2016,32292,4
Wilt Chamberlain,2016,31419,5
Dirk Nowitzki,2016,29491,6
Shaquille O'Neal,2016,28596,7
Moses Malone,2016,27409,8
Elvin Hayes,2016,27313,9
Hakeem Olajuwon,2016,26946,10
Kareem Abdul-Jabbar,2017,38387,1
Karl Malone,2017,36928,2
Kobe Bryant,2017,33643,3
Michael Jordan,2017,32292,4
Wilt Chamberlain,2017,31419,5
Dirk Nowitzki,2017,30260,6
LeBron James,2017,28787,7
Shaquille O'Neal,2017,28596,8
Moses Malone,2017,27409,9
Elvin Hayes,2017,27313,10
Kareem Abdul-Jabbar,2018,38387,1
Karl Malone,2018,36928,2
Kobe Bryant,2018,33643,3
Michael Jordan,2018,32292,4
Wilt Chamberlain,2018,31419,5
Dirk Nowitzki,2018,31187,6
LeBron James,2018,31038,7
Shaquille O'Neal,2018,28596,8
Moses Malone,2018,27409,9
Elvin Hayes,2018,27313,10
Kareem Abdul-Jabbar,2019,38387,1
Karl Malone,2019,36928,2
Kobe Bryant,2019,33643,3
LeBron James,2019,32543,4
Michael Jordan,2019,32292,5
Dirk Nowitzki,2019,31560,6
Wilt Chamberlain,2019,31419,7
Shaquille O'Neal,2019,28596,8
Moses Malone,2019,27409,9
Elvin Hayes,2019,27313,10
Kareem Abdul-Jabbar,2020,38387,1
Karl Malone,2020,36928,2
LeBron James,2020,34241,3
Kobe Bryant,2020,33643,4
Michael Jordan,2020,32292,5
Dirk Nowitzki,2020,31560,6
Wilt Chamberlain,2020,31419,7
Shaquille O'Neal,2020,28596,8
Moses Malone,2020,27409,9
Elvin Hayes,2020,27313,10
Kareem Abdul-Jabbar,2021,38387,1
LeBron James,2021,37062,2
Karl Malone,2021,36928,3
Kobe Bryant,2021,33643,4
Michael Jordan,2021,32292,5
6 Dirk Nowitzki,2021,31560,6
Wilt Chamberlain,2021,31419,7
Shaquille O'Neal,2021,28596,8
Carmelo Anthony,2021,28289,9
Moses Malone,2021,27409,10
Kareem Abdul-Jabbar,2022,38387,1
LeBron James,2022,37311,2
Karl Malone,2022,36928,3
Kobe Bryant,2022,33643,4
Michael Jordan,2022,32292,5
Dirk Nowitzki,2022,31560,6
Wilt Chamberlain,2022,31419,7
Shaquille O'Neal,2022,28596,8
Carmelo Anthony,2022,28289,9
Moses Malone,2022,27409,10
